datetime	t	rh	u	vw_dir	p
20120908T170000	4.24	74.45	6.75	307.5	0
20120908T180000	4.43	74.3	6.96	305.8	0
20120908T190000	3.65	78.85	6.1	303.75	0
20120908T200000	2.82	84.7	5.3	291.65	0
20120908T210000	2.33	90.7	5.16	289.6	0.13
20120908T220000	2.12	92.15	5.31	292.05	0
20120908T230000	1.44	95	5.33	285.6	0
20120909T000000	1.36	95	5.38	291.8	0
20120909T010000	1.24	95	5.2	289.35	0
20120909T020000	1.64	95	5.26	285.35	0.47
20120909T030000	1.45	95	5.79	286.4	0
20120909T040000	1.27	95	4.94	279.6	0
20120909T050000	1.44	95	4.99	286.2	0
20120909T060000	1.76	95	5.1	292.5	0
20120909T070000	2.02	95	5.33	295.2	0
20120909T080000	2.46	95	5.33	298.7	0
20120909T090000	2.97	95	5.41	309.15	0.47
20120909T100000	3.42	95	4.49	318.65	0
20120909T110000	3.87	94.95	4.08	324.95	0
20120909T120000	4.36	90.15	4.24	333.15	0
20120909T130000	4.8	86.4	4.69	344.5	0
20120909T140000	5.14	86.3	4.62	347.2	0
20120909T150000	5.15	84	4.61	179.06	0
20120909T160000	4.04	92.75	4.31	10.61	0
20120909T170000	4.27	95	3.24	353.7	0
20120909T180000	4.23	94.85	4.09	356.5	0
20120909T190000	3.88	95	3.56	349.75	0
20120909T200000	3.69	95	4.26	180.32	0
20120909T210000	3.38	95	4.12	10.71	0
20120909T220000	3.15	95	4.95	24.84	0
20120909T230000	2.63	95	4.94	26.93	0
20120910T000000	1.9	95	4.47	18.81	0
20120910T010000	1.71	95	4.28	15.25	0
20120910T020000	1.81	95	4.78	14.7	0
20120910T030000	1.61	95	5.06	19.7	0
20120910T040000	1.3	95	4.18	11.73	0
20120910T050000	1.28	95	4.25	7.73	0
20120910T060000	1.41	95	4.88	5.47	0
20120910T070000	1.59	95	5.12	6.88	0
20120910T080000	1.83	95	4.87	9.11	0
20120910T090000	2.18	95	4.78	6.37	0
20120910T100000	2.87	95	6.1	18.21	0
20120910T110000	3.37	95	6.26	21.24	0
20120910T120000	3.8	89.35	6.14	19.9	0
20120910T130000	4.17	91.55	5.83	26.25	0
20120910T140000	4.38	89.5	6.1	24.52	0
20120910T150000	4.36	94.45	5.98	19.79	0
20120910T160000	4.13	92.8	6.48	17.34	0
20120910T170000	3.58	93.3	5.81	16.77	0
20120910T180000	3.51	93.5	5.48	23.14	0
20120910T190000	3.75	92	5.39	16.13	0
20120910T200000	3.75	92.2	5.11	16.98	0
20120910T210000	3.5	94.95	4.58	19.01	0
20120910T220000	3.21	95	4.91	19.87	0
20120910T230000	2.62	95	4.66	13.55	0
20120911T000000	2.55	95	4.2	6.75	0
20120911T010000	2.8	95	4.17	14.46	0
20120911T020000	2.86	95	3.98	20.66	0
