yr 	   mo dy hr 	z     x		y				tdef	tair    rh         wspd   wdir      prec    
 2012  9  4 11.00   149  560599.0 7626795.2    91.0    15.12    75.15     2.21   219.05     0.00
 2012  9  4 12.00   149  560599.0 7626795.2    91.0    16.70    73.45     2.54   233.05     0.00
 2012  9  4 13.00   149  560599.0 7626795.2    91.0    17.51    66.91     2.83   260.70     0.00
 2012  9  4 14.00   149  560599.0 7626795.2    91.0    17.80    60.55     3.66   298.25     0.00
 2012  9  4 15.00   149  560599.0 7626795.2    91.0    18.32    57.36     3.61   310.05     0.00
 2012  9  4 16.00   149  560599.0 7626795.2    91.0    18.70    53.14     3.34   317.80     0.00
 2012  9  4 17.00   149  560599.0 7626795.2    91.0    19.29    48.80     2.63   293.90     0.00
 2012  9  4 18.00   149  560599.0 7626795.2    91.0    19.12    49.45     1.81   267.90     0.00
 2012  9  4 19.00   149  560599.0 7626795.2    91.0    18.42    53.16     1.95   297.85     0.00
 2012  9  4 20.00   149  560599.0 7626795.2    91.0    15.69    67.42     0.93   219.20     0.00
 2012  9  4 21.00   149  560599.0 7626795.2    91.0    13.33    75.35     0.69   135.95     0.00
 2012  9  4 22.00   149  560599.0 7626795.2    91.0    13.22    78.80     0.90   130.60     0.00
 2012  9  4 23.00   149  560599.0 7626795.2    91.0    11.48    87.00     1.26   178.75     0.00
 2012  9  5  0.00   149  560599.0 7626795.2    91.0    10.98    87.20     0.46   175.50     0.00
 2012  9  5  1.00   149  560599.0 7626795.2    91.0    10.26    90.55     2.92   221.85     0.00
 2012  9  5  2.00   149  560599.0 7626795.2    91.0     8.80    95.00     1.48   266.45     0.00
 2012  9  5  3.00   149  560599.0 7626795.2    91.0     8.46    95.00     3.17   233.25     0.00
 2012  9  5  4.00   149  560599.0 7626795.2    91.0     8.77    95.00     4.36   209.60     0.00
 2012  9  5  5.00   149  560599.0 7626795.2    91.0     9.02    95.00     4.40   199.05     0.00
 2012  9  5  6.00   149  560599.0 7626795.2    91.0     8.76    95.00     3.89   191.60     0.00
 2012  9  5  7.00   149  560599.0 7626795.2    91.0     9.39    95.00     4.49   185.90     0.00
 2012  9  5  8.00   149  560599.0 7626795.2    91.0    10.25    93.55     4.80   183.85     0.00
 2012  9  5  9.00   149  560599.0 7626795.2    91.0    11.23    89.10     5.62   184.90     0.00
 2012  9  5 10.00   149  560599.0 7626795.2    91.0    11.85    88.50     4.63   192.40     0.00
 2012  9  5 11.00   149  560599.0 7626795.2    91.0    13.64    79.70     5.41   200.85     0.00
 2012  9  5 12.00   149  560599.0 7626795.2    91.0    15.34    66.38     6.84   204.55     0.00
 2012  9  5 13.00   149  560599.0 7626795.2    91.0    15.86    63.53     6.52   206.65     0.00
 2012  9  5 14.00   149  560599.0 7626795.2    91.0    17.41    55.23     6.10   216.70     0.00
 2012  9  5 15.00   149  560599.0 7626795.2    91.0    18.66    47.34     6.59   221.50     0.00
 2012  9  5 16.00   149  560599.0 7626795.2    91.0    19.41    42.89     6.16   218.70     0.00
 2012  9  5 17.00   149  560599.0 7626795.2    91.0    19.95    38.90     6.11   216.05     0.00
 2012  9  5 18.00   149  560599.0 7626795.2    91.0    18.48    45.55     4.96   219.65     0.00
 2012  9  5 19.00   149  560599.0 7626795.2    91.0    16.59    53.83     7.80   211.85     0.00
 2012  9  5 20.00   149  560599.0 7626795.2    91.0    14.16    59.74     4.22   208.45     0.00
 2012  9  5 21.00   149  560599.0 7626795.2    91.0    11.43    71.72     2.31   242.25     0.00
 2012  9  5 22.00   149  560599.0 7626795.2    91.0    11.16    73.70     3.72   245.45     0.00
 2012  9  5 23.00   149  560599.0 7626795.2    91.0     9.11    81.80     2.99   256.85     0.42
 2012  9  6  0.00   149  560599.0 7626795.2    91.0     8.66    77.50     3.39   262.25     0.00
 2012  9  6  1.00   149  560599.0 7626795.2    91.0     8.21    82.15     3.35   259.05     0.00
 2012  9  6  2.00   149  560599.0 7626795.2    91.0     9.24    76.10     4.11   267.15     0.00
 2012  9  6  3.00   149  560599.0 7626795.2    91.0     8.54    79.00     4.11   255.65     0.00
 2012  9  6  4.00   149  560599.0 7626795.2    91.0     8.00    82.00     3.02   258.05     0.00
 2012  9  6  5.00   149  560599.0 7626795.2    91.0     7.51    84.30     2.87   257.35     0.00
 2012  9  6  6.00   149  560599.0 7626795.2    91.0     6.63    85.90     2.44   259.20     0.00
 2012  9  6  7.00   149  560599.0 7626795.2    91.0     6.22    86.20     2.04   251.10     0.00
 2012  9  6  8.00   149  560599.0 7626795.2    91.0     8.46    77.80     1.12   267.85     0.00
 2012  9  6  9.00   149  560599.0 7626795.2    91.0    10.71    74.00     2.85   192.30     0.00
 2012  9  6 10.00   149  560599.0 7626795.2    91.0    12.27    70.69     4.71   220.00     0.00
 2012  9  6 11.00   149  560599.0 7626795.2    91.0    14.23    58.17     7.65   241.95     0.00
 2012  9  6 12.00   149  560599.0 7626795.2    91.0    14.66    51.38     9.36   258.35     0.00
 2012  9  6 13.00   149  560599.0 7626795.2    91.0    13.80    54.77     9.82   255.20     0.00
 2012  9  6 14.00   149  560599.0 7626795.2    91.0    13.83    55.30    10.81   257.10     0.00
 2012  9  6 15.00   149  560599.0 7626795.2    91.0    12.98    59.89     8.61   253.85     0.00
